Model,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases,FN:FP cost ratio,Weighted cost,Cost per test record,Scenario
Logistic Regression,0.88,8,20,705,43,0.91881443298969068,0.2857142857142857,0.15686274509803921,0.20253164556962025,0.027586206896551724,28,0.03608247422680412,20,43,1,63,0.081185567010309281,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.89000000000000001,7,18,707,44,0.92010309278350511,0.28000000000000003,0.13725490196078433,0.18421052631578946,0.024827586206896551,25,0.032216494845360821,18,44,1,62,0.079896907216494839,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.90000000000000002,5,15,710,46,0.92139175257731953,0.25,0.098039215686274508,0.14084507042253522,0.020689655172413793,20,0.025773195876288658,15,46,1,61,0.078608247422680411,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.91000000000000003,4,15,710,47,0.92010309278350511,0.21052631578947367,0.078431372549019607,0.11428571428571428,0.020689655172413793,19,0.024484536082474227,15,47,1,62,0.079896907216494839,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.92000000000000004,3,13,712,48,0.92139175257731953,0.1875,0.058823529411764705,0.089552238805970144,0.01793103448275862,16,0.020618556701030927,13,48,1,61,0.078608247422680411,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.93000000000000005,3,13,712,48,0.92139175257731953,0.1875,0.058823529411764705,0.089552238805970144,0.01793103448275862,16,0.020618556701030927,13,48,1,61,0.078608247422680411,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.93999999999999995,3,13,712,48,0.92139175257731953,0.1875,0.058823529411764705,0.089552238805970144,0.01793103448275862,16,0.020618556701030927,13,48,1,61,0.078608247422680411,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.94999999999999996,2,9,716,49,0.92525773195876293,0.18181818181818182,0.039215686274509803,0.064516129032258063,0.012413793103448275,11,0.014175257731958763,9,49,1,58,0.074742268041237112,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.95999999999999996,1,6,719,50,0.92783505154639179,0.14285714285714285,0.019607843137254902,0.034482758620689655,0.0082758620689655175,7,0.0090206185567010301,6,50,1,56,0.072164948453608241,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.96999999999999997,1,6,719,50,0.92783505154639179,0.14285714285714285,0.019607843137254902,0.034482758620689655,0.0082758620689655175,7,0.0090206185567010301,6,50,1,56,0.072164948453608241,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.97999999999999998,1,3,722,50,0.93170103092783507,0.25,0.019607843137254902,0.036363636363636362,0.0041379310344827587,4,0.0051546391752577319,3,50,1,53,0.068298969072164942,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.98999999999999999,0,1,724,51,0.9329896907216495,0,0,0,0.0013793103448275861,1,0.001288659793814433,1,51,1,52,0.067010309278350513,hypothetical; not empirically measured mine-specific costs
Random Forest,0.01,47,566,159,4,0.2654639175257732,0.076672104404567704,0.92156862745098034,0.14156626506024098,0.78068965517241384,613,0.78994845360824739,566,4,1,570,0.73453608247422686,hypothetical; not empirically measured mine-specific costs
Random Forest,0.02,45,493,232,6,0.35695876288659795,0.083643122676579931,0.88235294117647056,0.15280135823429541,0.68000000000000005,538,0.69329896907216493,493,6,1,499,0.64304123711340211,hypothetical; not empirically measured mine-specific costs
Random Forest,0.029999999999999999,45,457,268,6,0.40335051546391754,0.089641434262948211,0.88235294117647056,0.16274864376130199,0.63034482758620691,502,0.64690721649484539,457,6,1,463,0.59664948453608246,hypothetical; not empirically measured mine-specific costs
Random Forest,0.040000000000000001,45,402,323,6,0.47422680412371132,0.10067114093959731,0.88235294117647056,0.18072289156626506,0.55448275862068963,447,0.5760309278350515,402,6,1,408,0.52577319587628868,hypothetical; not empirically measured mine-specific costs
