Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
SVM,Balanced weighting,5,3,0.67924063116370814,0.11902013693112462,24,338,362
Logistic Regression,Balanced weighting,5,4,0.69578080782094154,0.12829458208132927,23,338,361
Random Forest,Balanced weighting,5,4,0.70009004373552863,0.22812205410161071,23,338,361
Gradient Boosting,Balanced weighting,5,4,0.72652431180859267,0.21352283871861566,23,338,361
SVM,Balanced weighting,5,4,0.72498070491381528,0.20112165368758744,23,338,361
Logistic Regression,Balanced weighting,5,5,0.75642927794263115,0.22351044001262343,24,337,361
Random Forest,Balanced weighting,5,5,0.64799703264094954,0.11239790644057517,24,337,361
Gradient Boosting,Balanced weighting,5,5,0.70196587537091992,0.14229539861738558,24,337,361
SVM,Balanced weighting,5,5,0.74752720079129575,0.17351545668179999,24,337,361
Logistic Regression,Balanced weighting,6,1,0.7541913214990138,0.27213585854652156,24,338,362
Random Forest,Balanced weighting,6,1,0.71998274161735698,0.1885421669528268,24,338,362
Gradient Boosting,Balanced weighting,6,1,0.6439842209072979,0.18224179526253922,24,338,362
SVM,Balanced weighting,6,1,0.66481755424063116,0.18855753109277468,24,338,362
Logistic Regression,Balanced weighting,6,2,0.71597633136094663,0.20381691216105408,24,338,362
Random Forest,Balanced weighting,6,2,0.7551775147928993,0.188336174435427,24,338,362
Gradient Boosting,Balanced weighting,6,2,0.72898175542406307,0.27534884727363684,24,338,362
SVM,Balanced weighting,6,2,0.73853550295857984,0.2008723831657161,24,338,362
Logistic Regression,Balanced weighting,6,3,0.70266272189349122,0.19036452404105139,24,338,362
Random Forest,Balanced weighting,6,3,0.63646449704142005,0.12213966604937733,24,338,362
Gradient Boosting,Balanced weighting,6,3,0.64478550295857984,0.12401874118170043,24,338,362
SVM,Balanced weighting,6,3,0.67209072978303752,0.16201854118506392,24,338,362
Logistic Regression,Balanced weighting,6,4,0.8007460766658091,0.18501286949083542,23,338,361
Random Forest,Balanced weighting,6,4,0.76492153331618218,0.19621798689491904,23,338,361
Gradient Boosting,Balanced weighting,6,4,0.75527399022382302,0.17187182953342442,23,338,361
SVM,Balanced weighting,6,4,0.7682016979675842,0.19172040450689481,23,338,361
Logistic Regression,Balanced weighting,6,5,0.77893175074183973,0.22991511484482652,24,337,361
Random Forest,Balanced weighting,6,5,0.79172848664688422,0.29591594731888521,24,337,361
Gradient Boosting,Balanced weighting,6,5,0.73423590504451031,0.1709777716090157,24,337,361
SVM,Balanced weighting,6,5,0.75519287833827886,0.17128287779601989,24,337,361
Logistic Regression,Balanced weighting,7,1,0.82495069033530566,0.35742770068169766,24,338,362
Random Forest,Balanced weighting,7,1,0.78051035502958577,0.17758317178262176,24,338,362
Gradient Boosting,Balanced weighting,7,1,0.75110946745562124,0.22225076995704449,24,338,362
SVM,Balanced weighting,7,1,0.73434418145956604,0.14449354343344434,24,338,362
Logistic Regression,Balanced weighting,7,2,0.77465483234714005,0.1989502529489261,24,338,362
Random Forest,Balanced weighting,7,2,0.69656065088757413,0.17401693571516544,24,338,362
Gradient Boosting,Balanced weighting,7,2,0.75221893491124259,0.21742614394143295,24,338,362
