Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
Random Forest,RandomOverSampler,7,5,0.64756429277942629,0.12610288265275765,24,337,361
Gradient Boosting,RandomOverSampler,7,5,0.66660484668644904,0.14512007610417887,24,337,361
SVM,RandomOverSampler,7,5,0.66988130563798221,0.20599736508108801,24,337,361
Logistic Regression,RandomOverSampler,8,1,0.76232741617356992,0.25558180203698455,24,338,362
Random Forest,RandomOverSampler,8,1,0.69803994082840237,0.14212973456447595,24,338,362
Gradient Boosting,RandomOverSampler,8,1,0.6388683431952662,0.14129242216434515,24,338,362
SVM,RandomOverSampler,8,1,0.67418639053254437,0.1538903864881746,24,338,362
Logistic Regression,RandomOverSampler,8,2,0.77009368836291914,0.20027606360101849,24,338,362
Random Forest,RandomOverSampler,8,2,0.71147682445759364,0.2269267193504495,24,338,362
Gradient Boosting,RandomOverSampler,8,2,0.70771696252465477,0.28418516074253353,24,338,362
SVM,RandomOverSampler,8,2,0.75394477317554243,0.26266463476548829,24,338,362
Logistic Regression,RandomOverSampler,8,3,0.77440828402366857,0.20633700162748253,24,338,362
Random Forest,RandomOverSampler,8,3,0.71104536489151871,0.16367700612254096,24,338,362
Gradient Boosting,RandomOverSampler,8,3,0.72207840236686383,0.16648967283194116,24,338,362
SVM,RandomOverSampler,8,3,0.72312623274161747,0.22925213461206742,24,338,362
Logistic Regression,RandomOverSampler,8,4,0.71739130434782605,0.25657287867106598,23,338,361
Random Forest,RandomOverSampler,8,4,0.74485464368407506,0.1898071237283154,23,338,361
Gradient Boosting,RandomOverSampler,8,4,0.68503987651144838,0.18640013683203754,23,338,361
SVM,RandomOverSampler,8,4,0.69397993311036787,0.15230250974201615,23,338,361
Logistic Regression,RandomOverSampler,8,5,0.71525717111770526,0.20156880115346409,24,337,361
Random Forest,RandomOverSampler,8,5,0.69906033630069242,0.1918019881986848,24,337,361
Gradient Boosting,RandomOverSampler,8,5,0.70153313550939667,0.1654667512543006,24,337,361
SVM,RandomOverSampler,8,5,0.73590504451038574,0.21961595012948515,24,337,361
Logistic Regression,RandomOverSampler,9,1,0.75209566074950696,0.23191342543050453,24,338,362
Random Forest,RandomOverSampler,9,1,0.72965976331360949,0.213160567910847,24,338,362
Gradient Boosting,RandomOverSampler,9,1,0.76319033530571989,0.20665690410975915,24,338,362
SVM,RandomOverSampler,9,1,0.69538954635108485,0.15078956249282197,24,338,362
Logistic Regression,RandomOverSampler,9,2,0.68602071005917165,0.19688723225590485,24,338,362
Random Forest,RandomOverSampler,9,2,0.63862179487179493,0.12010270042939605,24,338,362
Gradient Boosting,RandomOverSampler,9,2,0.66370808678500992,0.13562999174060936,24,338,362
SVM,RandomOverSampler,9,2,0.70118343195266275,0.14967576257618351,24,338,362
Logistic Regression,RandomOverSampler,9,3,0.73076923076923073,0.15350391567749694,24,338,362
