Model,Curve,x,y
Logistic Regression,PR,1,0.080568720379146919
Logistic Regression,PR,1,0.080696202531645569
Logistic Regression,PR,1,0.080824088748019024
Logistic Regression,PR,1,0.080952380952380956
Logistic Regression,PR,1,0.081081081081081086
Logistic Regression,PR,1,0.081210191082802544
Logistic Regression,PR,1,0.081339712918660281
Logistic Regression,PR,1,0.081469648562300323
Logistic Regression,PR,1,0.081600000000000006
Logistic Regression,PR,1,0.081730769230769232
Logistic Regression,PR,1,0.08186195826645265
Logistic Regression,PR,1,0.081993569131832797
Logistic Regression,PR,1,0.082125603864734303
Logistic Regression,PR,1,0.082258064516129034
Logistic Regression,PR,1,0.082390953150242321
Logistic Regression,PR,1,0.082524271844660199
Logistic Regression,PR,1,0.082658022690437608
Logistic Regression,PR,1,0.082792207792207792
Logistic Regression,PR,1,0.082926829268292687
Logistic Regression,PR,1,0.083061889250814328
Logistic Regression,PR,1,0.083197389885807507
Logistic Regression,PR,1,0.083333333333333329
Logistic Regression,PR,1,0.08346972176759411
Logistic Regression,PR,1,0.083606557377049182
Logistic Regression,PR,1,0.083743842364532015
Logistic Regression,PR,1,0.083881578947368418
Logistic Regression,PR,1,0.084019769357495888
Logistic Regression,PR,1,0.084158415841584164
Logistic Regression,PR,1,0.084297520661157019
Logistic Regression,PR,1,0.084437086092715233
Logistic Regression,PR,1,0.0845771144278607
Logistic Regression,PR,1,0.084717607973421927
Logistic Regression,PR,1,0.084858569051580693
Logistic Regression,PR,1,0.085000000000000006
Logistic Regression,PR,1,0.085141903171953262
Logistic Regression,PR,1,0.085284280936454848
Logistic Regression,PR,1,0.085427135678391955
Logistic Regression,PR,1,0.08557046979865772
Logistic Regression,PR,1,0.085714285714285715
Logistic Regression,PR,1,0.085858585858585856
Logistic Regression,PR,1,0.086003372681281623
Logistic Regression,PR,1,0.086148648648648643
Logistic Regression,PR,1,0.086294416243654817
Logistic Regression,PR,1,0.086440677966101692
Logistic Regression,PR,1,0.086587436332767401
