Resample,Model,ROC-AUC,PR-AUC,Recall,Precision,Brier Score,Positive count,Negative count,Precision zero division applied,Undefined metric reason
33,SVM,0.69290060851926971,0.16361882151457977,0,0,0.059237392853322461,51,725,True,No positive predictions; precision defined as zero
34,Logistic Regression,0.76173089925625426,0.20575582888664967,0.62745098039215685,0.18181818181818182,0.17157065411127656,51,725,False,none
34,Random Forest,0.73729546991210282,0.20164092523518465,0.098039215686274508,0.22727272727272727,0.06564690721649484,51,725,False,none
34,Gradient Boosting,0.74485463150777553,0.20466537218813866,0.35294117647058826,0.15254237288135594,0.11582250216749845,51,725,False,none
34,SVM,0.67542934415145373,0.18595406061330205,0,0,0.058704453347235841,51,725,True,No positive predictions; precision defined as zero
35,Logistic Regression,0.75556457065584848,0.18018465211593132,0.58823529411764708,0.17045454545454544,0.18140273342435348,51,725,False,none
35,Random Forest,0.7587018255578093,0.16234787490940833,0.039215686274509803,0.07407407407407407,0.071919201030927832,51,725,False,none
35,Gradient Boosting,0.69202163624070323,0.18699297936048415,0.29411764705882354,0.14018691588785046,0.12223746416000165,51,725,False,none
35,SVM,0.66617985125084511,0.12257630755425833,0,0,0.060572628000462259,51,725,True,No positive predictions; precision defined as zero
36,Logistic Regression,0.8005138607167005,0.24391067864985735,0.66666666666666663,0.20118343195266272,0.16912006881110275,51,725,False,none
36,Random Forest,0.78392156862745099,0.23543853291613082,0.11764705882352941,0.23999999999999999,0.064225644329896914,51,725,False,none
36,Gradient Boosting,0.78055442866801883,0.33964716548101986,0.50980392156862742,0.22413793103448276,0.1100863295111579,51,725,False,none
36,SVM,0.71286004056795127,0.15870717993283837,0,0,0.058925492880508551,51,725,True,No positive predictions; precision defined as zero
37,Logistic Regression,0.75797160243407713,0.25132885216472894,0.49019607843137253,0.1773049645390071,0.16491108248963338,51,725,False,none
37,Random Forest,0.72820824881676804,0.17431227641213612,0.078431372549019607,0.21052631578947367,0.066998711340206199,51,725,False,none
37,Gradient Boosting,0.66436781609195406,0.24500278004279671,0.29411764705882354,0.16483516483516483,0.11085898531260274,51,725,False,none
37,SVM,0.61741717376605809,0.11755200509455804,0,0,0.06083414343019676,51,725,True,No positive predictions; precision defined as zero
38,Logistic Regression,0.71386071670047335,0.15579669924526651,0.50980392156862742,0.15476190476190477,0.18025265416445424,51,725,False,none
38,Random Forest,0.70764029749830959,0.14902474170272551,0.058823529411764705,0.15789473684210525,0.07001842783505155,51,725,False,none
38,Gradient Boosting,0.69473968897903982,0.25829827138255612,0.35294117647058826,0.16666666666666666,0.1155388466470437,51,725,False,none
38,SVM,0.63762001352265041,0.13444672401742655,0,0,0.060073431175727089,51,725,True,No positive predictions; precision defined as zero
39,Logistic Regression,0.75196754563894519,0.19437389643717096,0.62745098039215685,0.18181818181818182,0.17686316213065309,51,725,False,none
39,Random Forest,0.74453008789722785,0.22158314122296702,0.11764705882352941,0.20689655172413793,0.069098582474226816,51,725,False,none
39,Gradient Boosting,0.70845165652467879,0.17290716966019301,0.35294117647058826,0.17475728155339806,0.11757297379544231,51,725,False,none
39,SVM,0.70193373901284639,0.20515198707507198,0,0,0.058483637590344063,51,725,True,No positive predictions; precision defined as zero
40,Logistic Regression,0.78488167680865462,0.20551451678723209,0.68627450980392157,0.18324607329842932,0.18508441640912374,51,725,False,none
40,Random Forest,0.747951318458418,0.19259502307106413,0.098039215686274508,0.17857142857142858,0.069489046391752587,51,725,False,none
40,Gradient Boosting,0.73463150777552411,0.23549969653923869,0.47058823529411764,0.1889763779527559,0.11835720809883565,51,725,False,none
40,SVM,0.70269100743745772,0.18640626418011763,0,0,0.058527000817937956,51,725,True,No positive predictions; precision defined as zero
41,Logistic Regression,0.76416497633536162,0.20926703118504042,0.62745098039215685,0.1951219512195122,0.17491395153638531,51,725,False,none
41,Random Forest,0.73798512508451652,0.2520161768806285,0.15686274509803921,0.24242424242424243,0.067572036082474238,51,725,False,none
41,Gradient Boosting,0.7250439486139284,0.22403802642242551,0.43137254901960786,0.19642857142857142,0.11412076809328703,51,725,False,none
41,SVM,0.65993238674780252,0.20435393578434397,0,0,0.058416257974711491,51,725,True,No positive predictions; precision defined as zero
42,Logistic Regression,0.71848546315077755,0.15292077851966554,0.49019607843137253,0.14204545454545456,0.1823875230630311,51,725,False,none
42,Random Forest,0.69841784989858013,0.19912442063355737,0.098039215686274508,0.20833333333333334,0.069043814432989695,51,725,False,none
42,Gradient Boosting,0.74162271805273827,0.20679610478835869,0.33333333333333331,0.18681318681318682,0.10928647739628396,51,725,False,none
42,SVM,0.61741717376605809,0.1183002560181893,0,0,0.06075187060610647,51,725,True,No positive predictions; precision defined as zero
43,Logistic Regression,0.78507099391480739,0.22254889133231257,0.62745098039215685,0.20512820512820512,0.16955515931818435,51,725,False,none
43,Random Forest,0.80370520622041919,0.27678627148058377,0.17647058823529413,0.375,0.061267268041237111,51,725,False,none
43,Gradient Boosting,0.75478025693035833,0.26369656719060758,0.41176470588235292,0.20000000000000001,0.11084034732195822,51,725,False,none
43,SVM,0.7059364435429345,0.19559933645339375,0,0,0.059149536549685959,51,725,True,No positive predictions; precision defined as zero
44,Logistic Regression,0.72273157538877619,0.15751938435090079,0.5490196078431373,0.15819209039548024,0.17994589100033334,51,725,False,none
44,Random Forest,0.6930899256254226,0.18027667747298592,0.11764705882352941,0.19354838709677419,0.071601804123711352,51,725,False,none
44,Gradient Boosting,0.66302907369844499,0.14047040450073617,0.31372549019607843,0.13559322033898305,0.12307579446327847,51,725,False,none
44,SVM,0.62855983772819479,0.14590550437908589,0,0,0.060527766104664989,51,725,True,No positive predictions; precision defined as zero
45,Logistic Regression,0.72365111561866136,0.16329837391977814,0.56862745098039214,0.18012422360248448,0.18232822649100486,51,725,False,none
45,Random Forest,0.72186612576064912,0.21079179185425037,0.13725490196078433,0.28000000000000003,0.066377835051546402,51,725,False,none
45,Gradient Boosting,0.70553076402974979,0.24001299902281811,0.43137254901960786,0.20952380952380953,0.11321989546034815,51,725,False,none
45,SVM,0.66734279918864092,0.18301180733356792,0,0,0.058347891302490969,51,725,True,No positive predictions; precision defined as zero
46,Logistic Regression,0.82647734956051377,0.24101473527822595,0.76470588235294112,0.21910112359550563,0.17147871877304377,51,725,False,none
46,Random Forest,0.80555780933062882,0.26010860790400953,0.078431372549019607,0.15384615384615385,0.062158247422680411,51,725,False,none
46,Gradient Boosting,0.80613928329952667,0.32984148451960504,0.52941176470588236,0.23893805309734514,0.10661343179302203,51,725,False,none
46,SVM,0.74828938471940498,0.22203896174852755,0,0,0.056919247334735835,51,725,True,No positive predictions; precision defined as zero
47,Logistic Regression,0.77268424611223796,0.24589200364235811,0.60784313725490191,0.19871794871794871,0.16490398888338739,51,725,False,none
47,Random Forest,0.69891818796484118,0.19635421534312081,0.11764705882352941,0.21428571428571427,0.068287628865979375,51,725,False,none
47,Gradient Boosting,0.73879648411088572,0.20872003401123418,0.35294117647058826,0.19354838709677419,0.10890446061454706,51,725,False,none
47,SVM,0.63840432724814067,0.13396533703623814,0,0,0.060439373432463681,51,725,True,No positive predictions; precision defined as zero
48,Logistic Regression,0.7931034482758621,0.25040787597578829,0.60784313725490191,0.21379310344827587,0.15956929972183798,51,725,False,none
